Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
116,Wayne Ellington,SG,30,MIA,77,2,26.5,3.7,9.1,.407,2.9,7.5,.392,0.8,1.6,.479,.569,0.9,1.0,.859,0.3,2.5,2.8,1.0,0.7,0.1,0.7,1.2,11.2,ellinwa01
117,Frank Kaminsky,PF,24,CHO,79,4,23.2,3.9,9.1,.429,1.3,3.5,.380,2.6,5.6,.459,.501,2.0,2.5,.799,0.6,3.1,3.6,1.6,0.5,0.2,0.8,1.2,11.1,kaminfr01
118,Dillon Brooks,SF,22,MEM,82,74,28.7,4.1,9.4,.440,1.1,3.2,.356,3.0,6.2,.484,.501,1.5,2.0,.747,0.6,2.5,3.1,1.6,0.9,0.2,1.5,2.8,11.0,brookdi01
119,Draymond Green,PF,27,GSW,70,70,32.7,4.0,8.8,.454,1.1,3.7,.301,2.9,5.2,.562,.516,1.9,2.5,.775,1.1,6.6,7.6,7.3,1.4,1.3,2.9,2.6,11.0,greendr01
120,Montrezl Harrell,C,24,LAC,76,3,17.0,4.6,7.2,.635,0.0,0.1,.143,4.6,7.1,.641,.636,1.8,2.9,.626,1.4,2.7,4.0,1.0,0.5,0.7,0.9,1.9,11.0,harremo01
121,Ersan İlyasova,PF,30,TOT,69,43,25.1,4.0,8.9,.452,1.3,3.7,.360,2.7,5.2,.517,.526,1.5,2.0,.778,1.7,4.2,5.9,1.3,0.9,0.4,1.0,2.3,10.9,ilyaser01
122,Ish Smith,PG,29,DET,82,35,24.9,4.7,9.8,.486,0.4,1.2,.347,4.3,8.5,.506,.507,1.0,1.4,.698,0.3,2.4,2.7,4.4,0.8,0.2,1.3,1.7,10.9,smithis01
123,Jeff Green,PF,31,CLE,78,13,23.4,3.8,7.9,.477,0.7,2.2,.312,3.1,5.7,.540,.520,2.6,3.0,.868,0.8,2.4,3.2,1.3,0.5,0.4,1.0,1.9,10.8,greenje02
124,Joe Harris,SG,26,BRK,78,14,25.3,3.9,8.0,.491,1.9,4.6,.419,2.0,3.4,.589,.612,1.1,1.3,.827,0.7,2.7,3.3,1.6,0.4,0.3,1.2,2.0,10.8,harrijo01
125,James Johnson,PF,30,MIA,73,41,26.6,4.2,8.4,.503,0.8,2.5,.308,3.5,5.9,.587,.550,1.5,2.2,.698,0.8,4.1,4.9,3.8,1.0,0.7,1.9,2.6,10.8,johnsja01
126,John Collins,PF,20,ATL,74,26,24.1,4.2,7.4,.576,0.2,0.6,.340,4.0,6.7,.598,.591,1.8,2.5,.715,2.4,4.9,7.3,1.3,0.6,1.1,1.4,2.9,10.5,collijo01
127,Jamal Crawford,SG,37,MIN,80,0,20.7,3.9,9.3,.415,1.3,3.9,.331,2.6,5.4,.477,.485,1.3,1.4,.903,0.3,1.0,1.2,2.3,0.5,0.1,1.2,1.1,10.3,crawfja01
128,D.J. Augustin,PG,30,ORL,75,36,23.5,3.3,7.2,.452,1.5,3.6,.419,1.7,3.6,.485,.557,2.2,2.5,.868,0.4,1.7,2.1,3.8,0.7,0.0,1.6,1.3,10.2,augusdj01
129,Yogi Ferrell,SG,24,DAL,82,21,27.8,3.8,8.9,.426,1.6,4.4,.373,2.2,4.5,.477,.518,1.0,1.3,.796,0.3,2.7,3.0,2.5,0.8,0.1,1.0,1.9,10.2,ferreyo01
130,Denzel Valentine,SG,24,CHI,77,37,27.2,3.9,9.4,.417,1.9,4.8,.386,2.1,4.6,.450,.517,0.5,0.7,.745,0.6,4.5,5.1,3.2,0.8,0.1,1.3,2.4,10.2,valende01
131,Pau Gasol,C,37,SAS,77,63,23.5,3.7,8.1,.458,0.6,1.6,.358,3.2,6.6,.481,.492,2.1,2.7,.756,1.7,6.4,8.0,3.1,0.3,1.0,1.4,1.6,10.1,gasolpa01
132,Wilson Chandler,SF,30,DEN,74,71,31.7,3.8,8.5,.445,1.2,3.3,.358,2.6,5.2,.501,.515,1.2,1.5,.772,1.4,4.0,5.4,2.1,0.6,0.5,1.2,2.1,10.0,chandwi01
133,Dewayne Dedmon,C,28,ATL,62,46,24.9,4.0,7.7,.524,0.8,2.3,.355,3.2,5.4,.595,.577,1.1,1.4,.779,1.6,6.3,7.9,1.5,0.6,0.8,1.4,2.6,10.0,dedmode01
134,George Hill,PG,31,TOT,67,60,27.0,3.5,7.7,.460,1.3,3.1,.415,2.3,4.6,.490,.543,1.6,2.1,.786,0.6,2.1,2.7,2.8,0.9,0.4,1.3,1.9,10.0,hillge01
135,C.J. Miles,SF,30,TOR,70,3,19.1,3.2,8.6,.379,2.3,6.5,.361,0.9,2.1,.434,.516,1.2,1.4,.835,0.3,1.9,2.2,0.8,0.5,0.3,0.6,1.9,10.0,milescj01
136,Patty Mills,PG,29,SAS,82,36,25.7,3.4,8.3,.411,1.9,5.0,.372,1.5,3.3,.470,.523,1.3,1.4,.890,0.3,1.6,1.9,2.8,0.7,0.1,1.3,1.6,10.0,millspa02
137,Trey Lyles,PF,22,DEN,73,2,19.1,3.7,7.5,.491,1.1,3.0,.381,2.6,4.5,.563,.566,1.4,2.0,.706,0.8,4.0,4.8,1.2,0.4,0.5,0.8,1.5,9.9,lylestr01
138,Jae Crowder,SF,27,TOT,80,47,26.1,3.4,8.4,.404,1.4,4.3,.323,2.0,4.1,.488,.486,1.5,1.9,.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7,crowdja01
139,Mario Hezonja,SF,22,ORL,75,30,22.1,3.6,8.2,.442,1.2,3.6,.337,2.4,4.7,.523,.515,1.1,1.4,.819,0.5,3.2,3.7,1.4,1.1,0.4,1.1,1.8,9.6,hezonma01
140,Marvin Williams,PF,31,CHO,78,78,25.7,3.3,7.2,.458,1.6,3.9,.413,1.7,3.3,.512,.570,1.3,1.6,.829,0.9,3.8,4.7,1.2,0.7,0.5,0.8,1.5,9.5,willima02
141,Al-Farouq Aminu,PF,27,POR,69,67,30.0,3.3,8.4,.395,1.8,4.9,.369,1.5,3.5,.432,.503,0.9,1.2,.738,1.4,6.2,7.6,1.2,1.1,0.6,1.1,2.0,9.3,aminual01
142,Ryan Anderson,PF,29,HOU,66,50,26.1,3.1,7.3,.431,2.0,5.1,.386,1.2,2.1,.539,.568,1.1,1.4,.774,1.4,3.6,5.0,0.9,0.4,0.3,0.6,1.9,9.3,anderry01
143,Michael Kidd-Gilchrist,SF,24,CHO,74,74,25.0,3.8,7.6,.504,0.0,0.0,.000,3.8,7.5,.505,.504,1.6,2.3,.684,1.1,2.9,4.1,1.0,0.7,0.4,0.7,1.9,9.2,kiddgmi01
144,Kyle Korver,SG,36,CLE,73,4,21.6,3.0,6.6,.459,2.2,5.2,.436,0.8,1.5,.537,.628,0.9,1.0,.889,0.1,2.1,2.3,1.2,0.4,0.4,0.8,1.8,9.2,korveky01
145,Lance Stephenson,SG,27,IND,82,7,22.6,3.7,8.6,.427,0.8,2.8,.289,2.9,5.8,.495,.475,1.0,1.5,.661,0.8,4.4,5.2,2.9,0.6,0.2,1.6,2.2,9.2,stephla01
146,Troy Daniels,SG,26,PHO,79,15,20.5,2.9,7.3,.403,2.3,5.8,.400,0.6,1.5,.419,.563,0.7,0.8,.875,0.2,1.5,1.6,0.6,0.3,0.1,0.7,1.7,8.9,danietr01
147,Manu Ginóbili*,SG,40,SAS,65,0,20.0,3.1,7.1,.434,1.0,3.0,.333,2.1,4.2,.506,.503,1.7,2.0,.840,0.3,1.9,2.2,2.5,0.7,0.2,1.6,1.9,8.9,ginobma01
148,Anthony Tolliver,PF,32,DET,79,14,22.2,2.8,6.0,.464,2.0,4.6,.436,0.8,1.4,.561,.632,1.3,1.7,.797,0.6,2.4,3.1,1.1,0.4,0.3,0.7,1.8,8.9,tollian01
149,John Henson,C,27,MIL,76,69,25.9,3.8,6.6,.572,0.0,0.1,.143,3.8,6.5,.578,.573,1.2,2.1,.570,2.0,4.8,6.8,1.5,0.6,1.4,1.1,2.7,8.8,hensojo01
150,Mike Scott,PF,29,WAS,76,1,18.5,3.6,6.9,.527,0.9,2.1,.405,2.8,4.8,.582,.590,0.7,1.0,.658,0.7,2.6,3.3,1.1,0.3,0.1,1.0,1.9,8.8,scottmi01
151,Stanley Johnson,SF,21,DET,69,50,27.4,3.0,8.1,.375,1.0,3.4,.286,2.1,4.7,.439,.435,1.6,2.1,.772,0.5,3.2,3.7,1.6,1.4,0.2,1.1,2.4,8.7,johnsst04
152,Skal Labissière,PF,21,SAC,60,28,20.7,3.4,7.6,.448,0.3,0.9,.353,3.1,6.8,.459,.467,1.6,2.0,.805,1.7,3.2,4.8,1.2,0.4,0.8,1.2,2.2,8.7,labissk01
153,Larry Nance Jr.,C,25,TOT,66,27,21.5,3.6,6.3,.581,0.0,0.2,.167,3.6,6.1,.594,.584,1.4,2.1,.664,2.4,4.4,6.8,1.2,1.3,0.6,0.8,2.6,8.7,nancela02
154,Shabazz Napier,PG,26,POR,74,10,20.7,3.0,7.2,.420,1.1,2.9,.376,1.9,4.2,.450,.497,1.6,1.9,.841,0.4,1.9,2.3,2.0,1.1,0.2,1.2,1.1,8.7,napiesh01
155,Danny Green,SG,30,SAS,70,60,25.6,3.1,8.0,.387,1.7,4.6,.363,1.4,3.4,.419,.490,0.7,0.9,.769,0.6,3.0,3.6,1.6,0.9,1.1,1.1,1.7,8.6,greenda02
156,Emmanuel Mudiay,PG,21,TOT,64,14,19.5,3.2,8.2,.388,0.7,2.3,.318,2.5,5.9,.415,.433,1.5,2.0,.760,0.4,2.0,2.4,3.2,0.6,0.2,1.8,1.3,8.6,mudiaem01
157,Fred VanVleet,PG,23,TOR,76,0,20.0,3.1,7.2,.426,1.4,3.4,.414,1.6,3.7,.437,.525,1.1,1.3,.832,0.3,2.1,2.4,3.2,0.9,0.3,1.0,1.7,8.6,vanvlfr01
158,Alex Len,C,24,PHO,69,13,20.2,3.1,5.5,.566,0.0,0.0,.333,3.1,5.4,.568,.567,2.3,3.3,.684,2.5,5.0,7.5,1.2,0.4,0.9,1.1,2.3,8.5,lenal01
159,Dwight Powell,C,26,DAL,79,25,21.2,3.2,5.4,.593,0.4,1.1,.333,2.9,4.4,.656,.626,1.7,2.3,.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,poweldw01
160,Marcin Gortat,C,33,WAS,82,82,25.3,3.5,6.8,.518,0.0,0.0,,3.5,6.8,.518,.518,1.3,2.0,.675,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,8.4,gortama01
161,Jerami Grant,PF,23,OKC,81,1,20.3,3.0,5.6,.535,0.4,1.4,.291,2.6,4.3,.613,.570,2.0,3.0,.675,1.1,2.9,3.9,0.7,0.4,1.0,0.7,1.9,8.4,grantje01
162,Jerian Grant,PG,25,CHI,74,26,22.8,2.8,6.8,.416,0.8,2.5,.326,2.0,4.3,.468,.476,1.9,2.5,.745,0.4,1.9,2.3,4.6,0.9,0.1,1.2,1.8,8.4,grantje02
163,Devin Harris,PG,34,TOT,71,1,18.9,2.6,6.4,.412,1.1,3.2,.348,1.5,3.2,.476,.499,2.0,2.4,.835,0.2,1.6,1.8,2.1,0.7,0.2,1.1,2.2,8.4,harride01
164,Garrett Temple,SG,31,SAC,65,35,24.8,3.1,7.3,.418,1.4,3.5,.392,1.7,3.8,.442,.512,0.9,1.2,.769,0.3,2.0,2.3,1.9,0.9,0.4,1.2,2.1,8.4,templga01
165,Rajon Rondo,PG,31,NOP,65,63,26.2,3.6,7.6,.468,0.8,2.3,.333,2.8,5.3,.526,.518,0.4,0.7,.543,0.5,3.6,4.0,8.2,1.1,0.2,2.3,1.8,8.3,rondora01
166,J.R. Smith,SG,32,CLE,80,61,28.1,3.0,7.4,.403,1.8,4.8,.375,1.2,2.7,.453,.524,0.5,0.7,.696,0.4,2.6,2.9,1.8,0.9,0.1,1.0,2.0,8.3,smithjr01
167,Jarrett Allen,C,19,BRK,72,31,20.0,3.3,5.5,.589,0.1,0.2,.333,3.2,5.3,.599,.596,1.6,2.0,.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,allenja01
168,Evan Turner,SF,29,POR,79,40,25.7,3.3,7.3,.447,0.5,1.7,.318,2.7,5.6,.485,.484,1.2,1.4,.850,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,turneev01
169,Dejounte Murray,PG,21,SAS,81,48,21.5,3.3,7.5,.443,0.1,0.4,.265,3.2,7.1,.454,.451,1.3,1.8,.709,1.4,4.3,5.7,2.9,1.2,0.4,1.7,1.9,8.1,murrade01
170,Delon Wright,PG,25,TOR,69,4,20.8,2.9,6.3,.465,0.8,2.2,.366,2.1,4.0,.520,.530,1.4,1.7,.829,0.7,2.2,2.9,2.9,1.0,0.5,1.1,1.2,8.0,wrighde01
171,Kyle Anderson,SF,24,SAS,74,67,26.7,3.1,5.9,.527,0.3,0.8,.333,2.9,5.1,.556,.549,1.4,2.0,.712,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,anderky01
172,Josh Hart,SG,22,LAL,63,23,23.2,2.8,6.0,.469,1.2,3.1,.396,1.6,2.8,.551,.573,1.0,1.5,.702,0.7,3.5,4.2,1.3,0.7,0.3,0.7,1.7,7.9,hartjo01
173,Cory Joseph,PG,26,IND,82,17,27.0,3.1,7.4,.424,0.8,2.3,.353,2.3,5.0,.457,.479,0.9,1.1,.745,0.5,2.7,3.2,3.2,1.0,0.2,1.1,1.7,7.9,josepco01
174,David Nwaba,SG,25,CHI,70,21,23.5,2.9,6.0,.478,0.3,0.7,.346,2.6,5.3,.496,.499,1.9,2.9,.655,1.3,3.4,4.7,1.5,0.8,0.4,1.1,2.3,7.9,nwabada01
175,Doug McDermott,SF,26,TOT,81,4,21.8,2.9,6.3,.467,1.1,2.7,.426,1.8,3.6,.497,.557,0.8,1.0,.790,0.5,2.0,2.5,1.0,0.2,0.2,0.7,1.5,7.8,mcderdo01
176,Darius Miller,SF,27,NOP,82,3,23.7,2.6,5.9,.444,1.8,4.4,.411,0.8,1.6,.535,.594,0.7,0.8,.866,0.2,1.8,2.0,1.4,0.3,0.2,0.7,2.0,7.8,milleda01
177,Tyler Ulis,PG,22,PHO,71,43,23.4,3.0,7.8,.388,0.6,2.1,.288,2.4,5.7,.425,.426,1.2,1.4,.832,0.3,1.5,1.8,4.4,1.0,0.1,1.8,1.7,7.8,ulisty01
178,Justise Winslow,PF,21,MIA,68,25,24.7,3.0,7.2,.424,0.7,1.9,.380,2.3,5.3,.440,.474,1.0,1.5,.635,0.9,4.5,5.4,2.2,0.8,0.5,1.1,2.1,7.8,winslju01
179,Alec Burks,SG,26,UTA,64,1,16.5,2.7,6.5,.411,0.7,2.2,.331,1.9,4.3,.452,.467,1.7,1.9,.863,0.3,2.7,3.0,1.0,0.6,0.1,0.9,1.2,7.7,burksal01
180,Mario Chalmers,PG,31,MEM,66,10,21.5,2.5,6.7,.379,0.8,2.9,.277,1.7,3.8,.456,.439,1.8,2.1,.855,0.2,2.2,2.4,3.0,1.2,0.2,1.8,2.7,7.7,chalmma01
181,Marquese Chriss,PF,20,PHO,72,49,21.2,2.8,6.6,.423,0.8,2.6,.295,2.0,4.0,.509,.482,1.3,2.2,.608,1.1,4.4,5.5,1.2,0.7,1.0,1.5,2.8,7.7,chrisma01
182,Jarell Martin,PF,23,MEM,73,36,22.8,3.0,6.8,.446,0.5,1.3,.347,2.6,5.5,.470,.480,1.2,1.6,.767,1.3,3.0,4.4,1.0,0.5,0.7,1.2,2.9,7.7,martija01
183,Luke Kennard,SG,21,DET,73,9,20.0,2.8,6.4,.443,1.1,2.7,.415,1.7,3.7,.463,.530,0.9,1.0,.855,0.3,2.1,2.4,1.7,0.6,0.2,0.9,1.2,7.6,kennalu01
184,Jarrett Jack,PG,34,NYK,62,56,25.0,3.0,7.1,.427,0.4,1.4,.291,2.6,5.8,.459,.455,1.0,1.2,.840,0.4,2.7,3.1,5.6,0.6,0.1,1.9,1.6,7.5,jackja01
185,Luc Mbah a Moute,PF,31,HOU,61,15,25.6,2.7,5.7,.481,1.0,2.8,.364,1.7,2.8,.599,.572,1.1,1.6,.684,0.4,2.7,3.0,0.9,1.2,0.4,1.1,1.6,7.5,mbahalu01
186,Ian Clark,SG,26,NOP,74,2,19.7,3.0,6.7,.448,0.8,2.6,.318,2.2,4.1,.533,.511,0.6,0.8,.763,0.1,1.6,1.7,1.5,0.4,0.1,0.8,1.6,7.4,clarkia01
187,Pascal Siakam,PF,23,TOR,81,5,20.7,3.1,6.1,.508,0.4,1.6,.220,2.8,4.5,.612,.537,0.7,1.1,.621,1.0,3.5,4.5,2.0,0.8,0.5,0.8,2.0,7.3,siakapa01
188,Nick Young,SG,32,GSW,80,8,17.4,2.5,6.1,.412,1.5,4.1,.377,1.0,2.0,.481,.538,0.7,0.8,.862,0.3,1.3,1.6,0.5,0.5,0.1,0.5,1.3,7.3,youngni01
189,Tomáš Satoranský,SG,26,WAS,73,30,22.5,2.8,5.3,.523,0.6,1.4,.465,2.1,3.9,.544,.585,1.0,1.3,.781,1.0,2.2,3.2,3.9,0.7,0.2,1.1,1.8,7.2,satorto01
190,James Ennis III,SF,27,TOT,72,22,22.3,2.5,5.3,.474,0.7,2.1,.333,1.8,3.2,.567,.540,1.3,1.6,.836,1.0,2.1,3.1,1.0,0.7,0.3,0.8,1.9,7.1,ennisja01
