,Player,Season,Games Played,Average PPG,Volatility PPG,Average FTA,Average FTPER,Average FTS,nbaBB Sharpe,FTA PTS Correlation,FTA PTS Covariance,nbaBB Sharpe2,Average PPGM,Average FTAM,Volatility PPGM,Volatility MIN,nbaBB Sharpe3
10,Devin Booker,2021,68,26.794117647058822,8.669688276385063,5.338235294117647,0.8546658899249937,0.16836713379993773,2.474815895213187,0.5073829795722596,17.96619841966637,5.061955038314581,0.7756309975532483,0.15220757275110908,0.2223488728851635,4.33668965486692,2.8038074432880933
11,Donovan Mitchell,2021,67,25.865671641791046,7.453128207087636,4.6716417910447765,0.86729797979798,0.15109909908229616,2.8436421945072095,0.49228552553955,11.500678426051559,6.249594099784743,0.7660585383946673,0.13575158019271102,0.20834941845266186,3.909137298934414,3.0252398249202006
12,Stephen Curry,2021,64,25.46875,9.937254320862479,4.65625,0.8891882483987746,0.16743493623538383,2.0943914010840805,0.49802536800628905,16.703373015873016,5.092395913463011,0.730146011968995,0.13121533605413882,0.26512575032654334,4.39790322021472,2.2590437751790637
13,Karl-Anthony Towns,2021,74,24.56756756756757,7.686564412118774,6.3108108108108105,0.8324350996225993,0.21234806994285005,2.3751517294219027,0.5733311072984529,15.067752684191044,4.703264332970056,0.7404614121656299,0.1928697222052244,0.22639397526018973,4.484450856981027,2.418755575677623
14,Shai Gilgeous-Alexander,2021,56,24.482142857142858,8.407035895666226,7.232142857142857,0.7969120416015841,0.23785767188259394,2.0518527830828304,0.6427479109294004,23.086038961038955,3.590164822685281,0.6979163279698415,0.20644199532539548,0.21545791899044314,3.8854779339883274,2.2810687810748136
15,Zach LaVine,2021,67,24.402985074626866,7.100682543380375,5.597014925373134,0.8316627369046723,0.20031783815888735,2.6484735846676646,0.3899587165937423,9.467887833559478,6.111800790852186,0.691137389783216,0.15773116575235996,0.188936743821728,4.864068960480066,2.8232000469646787
16,Paul George,2021,31,24.322580645161292,7.557893104495474,4.774193548387097,0.8389009541183453,0.1593695299976014,2.5864863165564906,0.45484550895757764,15.541935483870963,4.958592045947562,0.7020055684436964,0.13478403003959447,0.21708586333567317,4.443892323203716,2.6128902623522055
17,CJ McCollum,2021,62,22.096774193548388,7.113616378556656,2.7419354838709675,0.6735344516594516,0.08035565848356471,2.7208156413973636,0.4130712647083191,6.992596509783183,7.3193130415153735,0.6334699778010124,0.07820558589484218,0.20065576584936748,5.353988467283464,2.7672486238098326
18,Damian Lillard,2021,29,23.96551724137931,8.51563575540125,6.241379310344827,0.8874078798185943,0.21825335647511418,2.081364027317927,0.6060865439930775,24.901477832512306,3.5518331811556245,0.6585446688005758,0.17130469244682292,0.21712546660874085,4.4443982029566955,2.2440480334430655
19,Jaylen Brown,2021,66,23.62121212121212,8.121735057790545,4.818181818181818,0.753929007500436,0.15605686002911065,2.315149431646878,0.44976435393950587,8.514685314685318,6.443822144443873,0.704591619187045,0.14150420389558438,0.2047332580545269,6.2538142631090015,2.7503465760384325
20,De'Aaron Fox,2021,59,23.16949152542373,7.885091150603016,5.898305084745763,0.7434248425773851,0.19152534739329138,2.1903597702047035,0.3999633329593816,10.293395675043831,5.383228799838027,0.6531598320987311,0.16719430761555185,0.1927446046780648,4.732123257055497,2.521292491143251
21,Anthony Davis,2021,40,23.175,7.248749892222796,6.1,0.7299013299013299,0.18294405407046388,2.3555785830491707,0.49211904690776387,13.110256410256413,4.7157971918545964,0.6516084527671485,0.16861323071797968,0.16547468981224545,7.396620850090939,2.9188465172359326
22,Bradley Beal,2021,40,23.2,6.392182725798755,5.075,0.8010807568499876,0.18725386309553327,2.8354946623862562,0.3866180486299021,7.548717948717951,6.5969230143660775,0.6457300682768955,0.13837351362954517,0.16428700492244583,4.204090270201153,3.088233027845723
23,Pascal Siakam,2021,68,22.808823529411764,7.5308333906078015,5.573529411764706,0.750997786935287,0.18867124503398605,2.28863038440637,0.43134603126447174,10.260535557506584,5.380636880685541,0.6035947202750485,0.14702447761529303,0.197802952563212,5.375095557209653,2.308207419269177
24,Brandon Ingram,2021,55,22.654545454545456,7.902170431005723,5.8545454545454545,0.8154937305880702,0.2216135787249111,2.1259981857746184,0.45623024299841547,12.689562289562287,4.716132094380875,0.6592770560893745,0.17198872247231461,0.22185131565882624,5.143109006032625,2.1964635736775855
25,James Harden,2021,65,22.03076923076923,7.7677226258987515,8.246153846153845,0.8933970311110887,0.3158237050868278,1.7746019069547374,0.688997796042731,25.867307692307694,2.710310443188264,0.5908668343188902,0.21881575869336967,0.1965490067590267,3.4440240671557336,1.8929176074731486
26,CJ McCollum,2021,62,22.096774193548388,7.113616378556656,2.7419354838709675,0.6735344516594516,0.08035565848356471,2.7208156413973636,0.4130712647083191,6.992596509783183,7.3193130415153735,0.6334699778010124,0.07820558589484218,0.20065576584936748,5.353988467283464,2.7672486238098326
27,Kristaps Porzingis,2021,51,20.19607843137255,6.689235156147576,5.607843137254902,0.8777585840085841,0.23907314783671121,2.180852512070934,0.519682587849812,12.718431372549023,4.090590298242146,0.6941545601717548,0.1969000825189362,0.20522669773593824,4.83045891539648,2.422952194517243
28,James Harden,2021,65,22.03076923076923,7.7677226258987515,8.246153846153845,0.8933970311110887,0.3158237050868278,1.7746019069547374,0.688997796042731,25.867307692307694,2.710310443188264,0.5908668343188902,0.21881575869336967,0.1965490067590267,3.4440240671557336,1.8929176074731486
29,Darius Garland,2021,68,21.66176470588235,6.477586456202483,3.5441176470588234,0.8925759508348794,0.14128195700576932,2.7969749506740027,0.40078601001955094,8.201712028094818,6.326296416975317,0.6067219922203254,0.0973050395674038,0.1713133182563784,4.419405148717655,2.9735980707031504
